"","State","Annual Mean Wage (All Occupations)","Median Monthly Rent","Value of a Dollar"
"1","Alabama","$46,840","$998","$1.16"
"2","Alaska","$61,760","$1,748","$0.95"
"3","Arizona","$53,400","$1,356","$1.04"
"4","Arkansas","$44,780","$953","$1.17"
"5","California","$65,740","$2,518","$0.87"
"6","Colorado","$60,840","$1,927","$0.98"
"7","Connecticut","$65,450","$1,803","$0.94"
"8","Delaware","$56,700","$1,435","$1.01"
"9","Florida","$50,020","$1,590","$0.99"
"10","Georgia","$51,940","$1,262","$1.08"
"11","Hawaii","$58,190","$2,481","$0.85"
"12","Idaho","$46,800","$1,238","$1.08"
"13","Illinois","$58,070","$1,463","$1.02"
"14","Indiana","$48,650","$1,113","$1.12"
"15","Iowa","$49,280","$1,057","$1.12"
"16","Kansas","$48,610","$1,051","$1.11"
"17","Kentucky","$46,000","$1,084","$1.14"
"18","Louisiana","$46,460","$1,245","$1.12"
"19","Maine","$51,220","$1,466","$1.00"
"20","Maryland","$63,610","$1,807","$0.92"
"21","Massachusetts","$70,010","$2,252","$0.91"
"22","Michigan","$53,390","$1,110","$1.08"
"23","Minnesota","$58,720","$1,449","$1.03"
"24","Mississippi","$41,600","$1,055","$1.16"
"25","Missouri","$50,140","$1,047","$1.13"
"26","Montana","$47,270","$1,234","$1.07"
"27","Nebraska","$50,260","$1,253","$1.12"
"28","Nevada","$50,360","$1,423","$1.03"
"29","New Hampshire","$56,730","$1,748","$0.94"
"30","New Jersey","$63,690","$2,062","$0.87"
"31","New Mexico","$49,650","$1,200","$1.10"
"32","New York","$67,850","$2,050","$0.86"
"33","North Carolina","$51,010","$1,208","$1.09"
"34","North Dakota","$52,450","$1,290","$1.10"
"35","Ohio","$51,510","$1,113","$1.13"
"36","Oklahoma","$47,340","$950","$1.13"
"37","Oregon","$56,880","$1,707","$0.99"
"38","Pennsylvania","$53,950","$1,242","$1.03"
"39","Rhode Island","$60,240","$1,725","$1.01"
"40","South Carolina","$46,230","$1,209","$1.10"
"41","South Dakota","$44,960","$1,213","$1.14"
"42","Tennessee","$47,530","$1,153","$1.11"
"43","Texas","$52,400","$1,455","$1.03"
"44","Utah","$51,430","$1,526","$1.04"
"45","Vermont","$53,420","$1,599","$0.97"
"46","Virginia","$60,160","$1,452","$0.98"
"47","Washington","$66,870","$1,838","$0.93"
"48","West Virginia","$45,380","$888","$1.14"
"49","Wisconsin","$51,250","$1,141","$1.09"
"50","Wyoming","$51,180","$1,149","$1.08"
