"","Common name","Image","Origin","First developed","Comment","Use"
"1","Abram[3][4]","","US","<1850","A small apple with red flush. Flesh white, tender, subacid. Use December - March.","Eating"
"2","Acheson[5]","","Alberta, Canada","Introduced 1941","Fruit large, greenish yellow. P Delicious x unknown. Use August - September","Eating"
"3","Acklam Russet[6]","","Yorkshire, England","1768","A small russet apple. An excellent dessert apple of first rate quality, ripe in November, keep till March","Eating"
"4","Adams Pearmain[7][8][3][9]","","Norfolk or Herefordshire, England","Introduced 1826","A dessert apple. First introduced under the name ""Norfolk Pippin"". W 64, H 63. Flesh yellow, crisp, firm, juicy, subacid, aromatic, very good.","Eating"
"5","Adina (syn. Frankad, Satark)[10]","","Queensland, Australia","","A large red apple. Flesh firm, juicy, sweet, very good. Tree vigorous.","Eating"
"6","Admiral","","Czech Republic","2012","New very popular variety. Flesh firm, crisp, juicy with very good taste. Robust, healthy, scab resistant variety with excellent keeping qualities and taste.","Eating"
"7","Advance[8]","","Bedford, England","1908","Early dessert apple. Medium size. Yellow with brown-red flush. Award of Merit from RHS in 1932. Pick mid August. Use August - September.","Eating"
"8","Adzamovka[11]","","Croatia","","A yellow conical apple with red stripes. W 60-70, H 50-60. We 110-150. Flesh juicy, subacid. Use November.","Eating, Cider"
"9","Ahrina[12]","","Germany","1993","A large roundish apple. Flesh juicy, subacid. Pick late September. Use November - February.","Eating"
"10","Aia Ilu","","Estonia","1946","Apple is large in size, weighing 250–300 g. It is yellow, juicy, and bittersweet with a weak aroma.","Eating"
"11","Airlie Red Flesh (Newell-Kimzey red flesh, Aerlie's Red Flesh)","","Oregon, US","c. 1961","A large, conic apple. Light yellow-green skin strewn with white dots, occasionally with a faint reddish orange blush. Light pink to deep red flesh is crisp, sweet and mildly tart.","Eating"
"12","Akane","","Japan","1970","Jonathan × Worcester Pearmain. Tangy taste.","Eating"
"13","Åkerö[13][14]","","Sweden","1759?","Apple is egg-shaped, medium to large in size, sweet and aromatic. H 68, W 68. Stalk 20–25 mm. Best in November, keeps well till February. Grown mostly in Sweden and Estonia.","Eating"
"14","Akin[15][16]","","Illinois, US","1831","Tree vigorous. W 68, H 52. Stalk 20 mm. Flesh yellow crisp, tender, juicy, subacid, aromatic, good to very good. Use January - June.","Eating"
"15","Alamanka[11]","","Macedonia","","A green apple (round to conical) with red stripes. We 100. Flesh juicy, subacid with poor aroma. Pick October. Use November.","Eating"
"16","Alantapfel(syn. Princesse Noble)[13][17]","","Germany","<1750","An oblong apple. W 56-63, H 59-73. Stalk 13-16mm. Flesh sugary, aromatic. Pick October. Use December - March.","Eating"
"17","Alaska[5]","","California, US","Introduced 1944","Flesh white. Tree heavy producer.","Eating"
"18","Albrechtapfel(syn. Prinz Albrecht von Preussen)[12][18]","","Germany","1865","P Alexander x unknown. W 60 - 85, H 55-63, We 80-200. Stalk 10 – 30 mm. Pick late September. Use October - December.","Eating, Cooking"
"19","Albury Park Nonsuch[7]","","Surrey, England","<1892","Yellow with red flush. AM from RHS in 1892. Flesh crisp, juicy, subacid. Use December - March.","Cooking"
"20","Aldenham Purple[19]","","Hertfordshire, England","1925","A red apple. W 63, H 48. Stalk 15–25 mm. Pick September. Use September - October.","Eating, Cooking"
"21","Alderman[8][20]","","Scotland","<1923","A golden yellow apple. W 90, H 71. Stalk short to medium. Flesh firm, crisp, juicy, acid. Pick mid September. Use October - December.","Baking"
"22","Alexander(syn. Kaiser Alexander, Emperor Alexander, Grand Alexander, Aport)[13][21][22][23]","","Russia","<1800","A very large apple. W 95, H 75. Stalk 18 mm. Flesh faint yellow, firm, crisp, juicy, very soft, mild subacid, fair to good. Pick early October. Pick mid September. Use September - December.","Eating"
"23","Alfriston[7][8][24]","","Sussex, England","late 1700s","Raised at Uckfield Sussex by Mr Shepherd. A large acid green apple. Flesh crisp, yellow, subacid, pear-like flavour. Award of Merit from RHS in 1920. W 83, H 76. Pick early October. Use November - April.","Cooking"
"24","Alice[14]","","Sweden","1964","Medium size. Yellow with red stripes. Flesh juicy, aromatic. P Ingrid Marie x Gyllenkroks Astrakan. Pick September. Use September - Oct.","Eating"
"25","Alkmene[18]agm[25]","","Germany","1930","P: Cox's Orange Pippin × Doktor Oldenburg. W 58, H 58, We 120. Stalk 9 – 20 mm. Pick September. Use September - November.","Eating"
